DATE,5 YR,5.25 YR
1/31/1960,4.924871795,4.945128205
2/29/1960,4.964102564,4.985897436
3/31/1960,5.092564103,5.117435897
4/30/1960,5.146923077,5.173076923
5/31/1960,5.110512821,5.139487179
6/30/1960,5.855384615,5.864615385
7/31/1960,5.774102564,5.785897436
8/31/1960,5.804358974,5.815641026
9/30/1960,5.828205128,5.841794872
10/31/1960,5.582051282,5.607948718
11/30/1960,5.370769231,5.409230769
12/31/1960,5.236666667,5.283333333
1/31/1961,5.134615385,5.185384615
2/28/1961,5.179487179,5.220512821
3/31/1961,5.254871795,5.295128205
4/30/1961,5.199230769,5.240769231
5/31/1961,5.243846154,5.286153846
6/30/1961,5.416923077,5.463076923
7/31/1961,6.626666667,6.623333333
8/31/1961,6.695128205,6.694871795
9/30/1961,6.613333333,6.616666667
10/31/1961,5.915128205,5.924871795
11/30/1961,5.789487179,5.810512821
12/31/1961,5.814102564,5.835897436
1/31/1962,5.707692308,5.732307692
2/28/1962,5.890512821,5.909487179
3/30/1962,5.316153846,5.363846154
4/30/1962,5.136410256,5.193589744
5/31/1962,5.018461538,5.081538462
6/29/1962,5.025897436,5.084102564
7/31/1962,4.825384615,4.874615385
8/31/1962,4.661025641,4.708974359
9/28/1962,4.248974359,4.281025641
10/31/1962,4.43974359,4.47025641
11/30/1962,4.411025641,4.448974359
12/31/1962,4.411794872,4.448205128
1/31/1963,4.337692308,4.382307692
2/28/1963,4.404358974,4.455641026
3/29/1963,4.583333333,4.626666667
4/30/1963,4.47974359,4.52025641
5/31/1963,4.385384615,4.424615385
6/28/1963,4.372307692,4.407692308
7/31/1963,4.393333333,4.426666667
8/30/1963,4.324102564,4.355897436
9/30/1963,4.269230769,4.300769231
10/31/1963,4.339230769,4.370769231
11/29/1963,4.456153846,4.493846154
12/31/1963,4.460512821,4.499487179
1/31/1964,4.495641026,4.534358974
2/28/1964,4.865384615,4.894615385
3/31/1964,4.865128205,4.894871795
4/30/1964,4.87974359,4.91025641
5/28/1964,4.95,4.98
6/30/1964,5.034871795,5.065128205
7/31/1964,5.190769231,5.219230769
8/31/1964,5.191025641,5.218974359
9/30/1964,5.195641026,5.224358974
10/30/1964,5.255384615,5.284615385
11/30/1964,6.357179487,6.342820513
12/31/1964,6.508205128,6.501794872
1/29/1965,6.447435897,6.442564103
2/26/1965,6.401025641,6.398974359
3/31/1965,6.535384615,6.534615385
4/30/1965,6.487179487,6.492820513
5/28/1965,6.520769231,6.529230769
6/30/1965,6.11974359,6.15025641
7/30/1965,6.195128205,6.224871795
8/31/1965,6.105641026,6.134358974
9/30/1965,5.967435897,5.992564103
10/29/1965,5.922307692,5.947692308
11/30/1965,5.892051282,5.917948718
12/31/1965,6.041282051,6.068717949
1/31/1966,5.937948718,5.962051282
2/28/1966,6.073076923,6.096923077
3/31/1966,6.150512821,6.179487179
4/29/1966,6.156410256,6.183589744
5/31/1966,6.195897436,6.224102564
6/30/1966,6.348717949,6.381282051
7/29/1966,7.001538462,7.018461538
8/31/1966,7.10025641,7.11974359
9/30/1966,6.871794872,6.878205128
10/31/1966,6.70974359,6.72025641
11/30/1966,6.798461538,6.801538462
12/30/1966,6.578717949,6.581282051
1/31/1967,6.318717949,6.331282051
2/28/1967,6.215384615,6.224615385
3/31/1967,5.953076923,5.976923077
4/28/1967,5.877692308,5.902307692
5/31/1967,5.82,5.85
6/30/1967,5.942564103,5.977435897
7/31/1967,6.061282051,6.098717949
8/31/1967,5.981794872,6.018205128
9/29/1967,6.093846154,6.126153846
10/31/1967,6.3,6.33
11/30/1967,7.330769231,7.319230769
12/29/1967,7.397179487,7.392820513
1/31/1968,7.412820513,7.407179487
2/29/1968,7.321282051,7.318717949
3/29/1968,7.202564103,7.207435897
4/30/1968,7.172564103,7.177435897
5/31/1968,7.298461538,7.301538462
6/28/1968,7.42025641,7.42974359
7/31/1968,7.366923077,7.383076923
8/30/1968,7.242307692,7.257692308
9/30/1968,7.028205128,7.051794872
10/31/1968,6.991794872,7.018205128
11/29/1968,7.247948718,7.272051282
12/31/1968,7.379230769,7.410769231
1/31/1969,7.475384615,7.514615385
2/28/1969,8.046153846,8.063846154
3/28/1969,8.208717949,8.231282051
4/30/1969,8.214102564,8.235897436
5/29/1969,8.395641026,8.424358974
6/30/1969,8.566923077,8.603076923
7/31/1969,8.39025641,8.41974359
8/29/1969,8.389230769,8.420769231
9/30/1969,8.418974359,8.451025641
10/31/1969,8.275897436,8.304102564
11/28/1969,8.314871795,8.345128205
12/31/1969,8.263846154,8.296153846
1/30/1970,8.182307692,8.217692308
2/27/1970,8.121025641,8.148974359
3/31/1970,7.842564103,7.877435897
4/30/1970,7.637179487,7.682820513
5/29/1970,7.805128205,7.854871795
6/30/1970,7.824358974,7.875641026
7/31/1970,7.643589744,7.686410256
8/31/1970,7.555641026,7.594358974
9/30/1970,7.599230769,7.640769231
10/30/1970,7.594358974,7.635641026
11/30/1970,7.731025641,7.778974359
12/31/1970,7.847948718,7.902051282
1/29/1971,7.758974359,7.811025641
2/26/1971,7.631025641,7.678974359
3/31/1971,7.457948718,7.502051282
4/30/1971,6.912564103,6.977435897
5/28/1971,6.828461538,6.891538462
6/30/1971,6.832307692,6.897692308
7/30/1971,6.607435897,6.662564103
8/31/1971,6.725897436,6.774102564
9/30/1971,6.075128205,6.144871795
10/29/1971,5.865641026,5.934358974
11/30/1971,5.629487179,5.700512821
12/31/1971,5.715641026,5.784358974
1/31/1972,5.655641026,5.724358974
2/29/1972,5.670512821,5.739487179
3/30/1972,5.810512821,5.889487179
4/28/1972,5.814358974,5.895641026
5/31/1972,6.029487179,6.120512821
6/30/1972,7.252564103,7.337435897
7/31/1972,7.28974359,7.37025641
8/31/1972,7.398717949,7.481282051
9/29/1972,7.925897436,7.994102564
10/31/1972,7.966666667,8.023333333
11/30/1972,7.982307692,8.037692308
12/29/1972,8.821538462,8.848461538
1/31/1973,8.636666667,8.663333333
2/28/1973,8.678717949,8.711282051
3/30/1973,8.836410256,8.883589744
4/30/1973,8.639487179,8.690512821
5/31/1973,8.437435897,8.502564103
6/29/1973,8.382564103,8.457435897
7/31/1973,10.66589744,10.65410256
8/31/1973,11.09179487,11.09820513
9/28/1973,11.20307692,11.21692308
10/31/1973,10.97205128,10.98794872
11/30/1973,12.26974359,12.26025641
12/31/1973,12.52717949,12.53282051
1/31/1974,12.5025641,12.5274359
2/28/1974,12.61897436,12.66102564
3/29/1974,12.72538462,12.76461538
4/30/1974,12.62,12.68
5/31/1974,12.24282051,12.29717949
6/28/1974,12.49205128,12.55794872
7/31/1974,12.64179487,12.71820513
8/30/1974,12.84307692,12.92692308
9/30/1974,12.53410256,12.61589744
10/31/1974,12.70230769,12.79769231
11/29/1974,13.30871795,13.43128205
12/31/1974,13.58666667,13.72333333
1/31/1975,12.6054359,12.7286641
2/28/1975,11.5045641,11.5958359
3/31/1975,10.76789744,10.84150256
4/30/1975,10.78938462,10.87091538
5/30/1975,11.23097436,11.32492564
6/30/1975,11.19133333,11.28126667
7/31/1975,11.55882051,11.61837949
8/29/1975,11.54461538,11.60588462
9/30/1975,11.5925641,11.6509359
10/31/1975,12.43323077,12.48706923
11/28/1975,12.28974359,12.35825641
12/31/1975,12.13451282,12.20628718
1/30/1976,10.92651282,11.01218718
2/27/1976,10.328,10.4181
3/31/1976,10.43087179,10.53682821
4/30/1976,11.17420513,11.23899487
5/28/1976,11.6665641,11.7017359
6/30/1976,12.1894359,12.2524641
7/30/1976,12.18015385,12.24914615
8/31/1976,12.27015385,12.34014615
9/30/1976,13.25425641,13.30054359
10/29/1976,15.036,15.0677
11/30/1976,14.72882051,14.76537949
12/31/1976,14.31841026,14.36098974
1/31/1977,12.87441026,12.93418974
2/28/1977,12.02010256,12.08609744
3/31/1977,10.55502564,10.64927436
4/29/1977,9.778615385,9.898684615
5/31/1977,9.590102564,9.703597436
6/30/1977,9.920102564,10.05009744
7/29/1977,10.014,10.1568
8/31/1977,9.278923077,9.429476923
9/30/1977,8.092205128,8.239094872
10/31/1977,7.319025641,7.468574359
11/30/1977,8.518205128,8.628294872
12/30/1977,8.440051282,8.553048718
1/31/1978,8.127538462,8.251661538
2/28/1978,8.126153846,8.239346154
3/31/1978,8.531384615,8.664815385
4/28/1978,9.391435897,9.517364103
5/31/1978,10.3325641,10.4299359
6/30/1978,10.83517949,10.91742051
7/31/1978,10.70005128,10.78354872
8/31/1978,10.59748718,10.67911282
9/29/1978,10.73174359,10.81415641
10/31/1978,11.47107692,11.53352308
11/30/1978,12.30846154,12.34753846
12/29/1978,12.32179487,12.36170513
1/31/1979,12.79938462,12.83691538
2/28/1979,13.08646154,13.13163846
3/30/1979,11.75164103,11.76805897
4/30/1979,11.33682051,11.33947949
5/31/1979,11.58123077,11.58966923
6/29/1979,12.95461538,12.93488462
7/31/1979,12.85584615,12.83005385
8/31/1979,12.81369231,12.78600769
9/28/1979,12.97220513,12.95159487
10/31/1979,13.28553846,13.27576154
11/30/1979,15.4465641,15.4122359
12/31/1979,15.44158974,15.42051026
1/31/1980,15.32066667,15.27513333
2/29/1980,15.44953846,15.41406154
3/31/1980,15.62425641,15.58954359
4/30/1980,15.26251282,15.22038718
5/30/1980,15.11041026,15.06038974
6/30/1980,14.75441026,14.70568974
7/31/1980,13.91466667,13.87293333
8/29/1980,14.34087179,14.30882821
9/30/1980,13.91189744,13.88980256
10/31/1980,13.79697436,13.76712564
11/28/1980,13.14010256,13.15009744
12/31/1980,13.38825641,13.40784359
1/30/1981,13.27230769,13.30719231
2/27/1981,12.68394872,12.74175128
3/31/1981,12.56794872,12.62255128
4/30/1981,12.44210256,12.50299744
5/29/1981,12.88471795,12.96048205
6/30/1981,13.24794872,13.32005128
7/31/1981,14.52174359,14.55965641
8/31/1981,14.18215385,14.23454615
9/30/1981,15.45774359,15.47535641
10/30/1981,15.99225641,16.00964359
11/30/1981,14.71302564,14.76337436
12/31/1981,15.318,15.3521
1/29/1982,14.72364103,14.78445897
2/26/1982,13.76035897,13.82684103
3/31/1982,13.22112821,13.26057179
4/30/1982,13.38871795,13.42928205
5/28/1982,13.03333333,13.07616667
6/30/1982,12.97117949,13.01012051
7/30/1982,12.00364103,12.07095897
8/31/1982,10.92046154,10.98493846
9/30/1982,10.47871795,10.53028205
10/29/1982,9.571487179,9.627412821
11/30/1982,10.20989744,10.23940256
12/31/1982,10.62635897,10.67404103
1/31/1983,11.39133333,11.41526667
2/28/1983,11.30482051,11.32907949
3/31/1983,10.78384615,10.81365385
4/29/1983,10.35051282,10.38598718
5/31/1983,10.40425641,10.44204359
6/30/1983,10.10523077,10.14946923
7/29/1983,10.43712821,10.49177179
8/31/1983,10.49876923,10.55983077
9/30/1983,10.07974359,10.13825641
10/31/1983,9.897282051,9.953417949
11/30/1983,9.747897436,9.794502564
12/30/1983,9.779794872,9.829305128
1/31/1984,9.79,9.839
2/29/1984,9.832717949,9.884582051
3/30/1984,9.49225641,9.55064359
4/30/1984,9.574564103,9.638335897
5/31/1984,10.12076923,10.18373077
6/29/1984,10.19194872,10.26185128
7/31/1984,11.70384615,11.72215385
8/31/1984,10.65225641,10.69014359
9/28/1984,10.58933333,10.62136667
10/31/1984,10.47287179,10.50422821
11/30/1984,9.871487179,9.914412821
12/31/1984,9.973846154,10.01865385
1/31/1985,11.59333333,11.58166667
2/28/1985,12.47128205,12.42221795
3/29/1985,11.85671795,11.83038205
4/30/1985,11.49764103,11.47625897
5/31/1985,11.52307692,11.50842308
6/28/1985,11.50994872,11.48595128
7/31/1985,10.88082051,10.87527949
8/30/1985,10.8494359,10.8414641
9/30/1985,10.84764103,10.83925897
10/31/1985,10.8365641,10.8207359
11/29/1985,10.85682051,10.84847949
12/31/1985,10.97805128,10.96814872
1/31/1986,11.62574359,11.60095641
2/28/1986,11.30338462,11.27471538
3/31/1986,10.23071795,10.20368205
4/30/1986,9.405128205,9.381871795
5/30/1986,9.247435897,9.242564103
6/30/1986,9.374564103,9.378335897
7/31/1986,9.554666667,9.557433333
8/29/1986,9.494307692,9.502592308
9/30/1986,9.975641026,9.990858974
10/31/1986,10.73697436,10.74612564
11/28/1986,10.86933333,10.87986667
12/31/1986,10.81825641,10.82634359
1/30/1987,10.41964103,10.41215897
2/27/1987,10.08635897,10.08054103
3/31/1987,9.215487179,9.210212821
4/30/1987,8.91374359,8.92505641
5/29/1987,8.643435897,8.651264103
6/30/1987,8.843692308,8.848007692
7/31/1987,9.109025641,9.118074359
8/31/1987,9.995128205,10.00187179
9/30/1987,9.98574359,9.99695641
10/30/1987,9.490410256,9.522889744
11/30/1987,8.847538462,8.866661538
12/31/1987,8.901282051,8.937717949
1/29/1988,8.942051282,8.980448718
2/29/1988,9.156205128,9.174394872
3/31/1988,8.643179487,8.672020513
4/29/1988,8.495487179,8.530712821
5/31/1988,8.251333333,8.309266667
6/30/1988,9.611230769,9.606169231
7/29/1988,10.05733333,10.04646667
8/31/1988,10.71846154,10.67803846
9/30/1988,10.76194872,10.72885128
10/31/1988,10.61897436,10.57252564
11/30/1988,11.25328205,11.18361795
12/30/1988,11.35451282,11.29378718
1/31/1989,11.16641026,11.10608974
2/28/1989,11.14866667,11.07723333
3/31/1989,11.16923077,11.10476923
4/28/1989,11.23307692,11.18042308
5/31/1989,11.75805128,11.67864872
6/30/1989,12.12569231,12.04690769
7/31/1989,11.73271795,11.65358205
8/31/1989,11.70989744,11.61990256
9/29/1989,11.868,11.7851
10/31/1989,12.49605128,12.39374872
11/30/1989,12.61353846,12.51036154
12/29/1989,12.56974359,12.46925641
1/31/1990,12.71712821,12.62577179
2/28/1990,12.87466667,12.79743333
3/30/1990,13.53128205,13.47571795
4/30/1990,13.70410256,13.65589744
5/31/1990,13.47287179,13.41972821
6/29/1990,13.09220513,13.02759487
7/31/1990,13.11779487,13.05390513
8/31/1990,13.24723077,13.19236923
9/28/1990,13.194,13.1393
10/31/1990,12.4514359,12.4158641
11/30/1990,12.04933333,12.01536667
12/31/1990,11.97748718,11.92061282
1/31/1991,11.74194872,11.68435128
2/28/1991,11.02902564,10.98407436
3/28/1991,10.93902564,10.90657436
4/30/1991,10.6925641,10.6674359
