,5 YR,7 YR,10 YR,20 YR,30 YR
1/31/2003,1.53,1.97,2.19,,
2/28/2003,0.94,1.48,1.77,,
3/31/2003,1.13,1.66,2.03,,
4/30/2003,1.4,1.88,2.16,,
5/30/2003,1.04,1.47,1.77,,
6/30/2003,1.01,1.52,1.9,,
7/31/2003,1.63,2.09,2.41,,
8/29/2003,1.47,1.94,2.29,,
9/30/2003,0.99,1.53,1.95,,
10/31/2003,1.21,1.59,1.93,,
11/28/2003,1.36,1.73,2.03,,
12/31/2003,1.22,1.62,2,,
1/30/2004,1.01,1.43,1.85,,
2/27/2004,0.63,1.11,1.61,,
3/31/2004,0.51,0.99,1.48,,
4/30/2004,1.29,1.75,2.11,,
5/28/2004,1.26,1.68,2,,
6/30/2004,1.38,1.75,2.1,,
7/30/2004,1.3,1.7,2.01,2.38,
8/31/2004,1.06,1.43,1.78,2.14,
9/30/2004,1.05,1.41,1.77,2.12,
10/29/2004,0.81,1.22,1.63,2.09,
11/30/2004,0.96,1.34,1.75,2.15,
12/31/2004,0.99,1.31,1.68,1.96,
1/31/2005,1.13,1.36,1.65,1.92,
2/28/2005,1.18,1.4,1.7,1.96,
3/31/2005,1.31,1.49,1.79,1.91,
4/29/2005,1.17,1.35,1.61,1.82,
5/31/2005,1.29,1.41,1.63,1.78,
6/30/2005,1.41,1.52,1.67,1.79,
7/29/2005,1.8,1.84,1.92,2.03,
8/31/2005,1.43,1.56,1.65,1.87,
9/30/2005,1.46,1.64,1.78,1.95,
10/31/2005,1.81,1.91,2,2.13,
11/30/2005,2.07,2.1,2.12,2.17,
12/30/2005,2.05,2.06,2.06,2.04,
1/31/2006,1.89,1.95,2,2.02,
2/28/2006,1.93,1.99,2.02,1.98,
3/31/2006,2.24,2.3,2.35,2.33,
4/28/2006,2.25,2.29,2.39,2.44,
5/31/2006,2.36,2.4,2.48,2.5,
6/30/2006,2.47,2.49,2.54,2.56,
7/31/2006,2.37,2.4,2.41,2.42,
8/31/2006,2.26,2.26,2.24,2.23,
9/29/2006,2.34,2.3,2.27,2.27,
10/31/2006,2.47,2.4,2.34,2.28,
11/30/2006,2.21,2.19,2.16,2.13,
12/29/2006,2.44,2.45,2.41,2.4,
1/31/2007,2.4,2.42,2.4,2.4,
2/28/2007,2.12,2.19,2.2,2.24,
3/30/2007,2.03,2.15,2.21,2.32,
4/30/2007,2.06,2.13,2.2,2.31,
5/31/2007,2.53,2.5,2.54,2.53,
6/29/2007,2.59,2.62,2.65,2.64,
7/31/2007,2.43,2.45,2.44,2.43,
8/31/2007,2.28,2.36,2.34,2.41,
9/28/2007,2.12,2.24,2.27,2.29,
10/31/2007,1.9,2.06,2.14,2.21,
11/30/2007,1.17,1.5,1.63,1.93,
12/31/2007,1.18,1.55,1.73,2,
1/31/2008,0.67,1.04,1.33,1.71,
2/29/2008,0.2,0.74,1.1,1.71,
3/31/2008,0.27,0.75,1.11,1.81,
4/30/2008,0.77,1.13,1.5,1.98,
5/30/2008,1.01,1.32,1.58,2.13,
6/30/2008,0.71,1.17,1.48,2.06,
7/31/2008,1.09,1.4,1.65,2.16,
8/29/2008,1.21,1.48,1.68,2.17,
9/30/2008,2.01,2.15,2.25,2.62,
10/31/2008,3.76,3.9,3.14,3.35,
11/28/2008,4.17,3.78,2.6,2.98,
12/31/2008,1.81,1.96,2.14,2.36,
1/30/2009,1.47,1.54,1.73,2.43,
2/27/2009,1.41,1.69,2.06,2.53,
3/31/2009,0.94,1.14,1.43,2.01,
4/30/2009,1.2,1.41,1.69,2.41,
5/29/2009,0.98,1.27,1.67,2.26,
6/30/2009,1.2,1.46,1.78,2.12,
7/31/2009,1.21,1.41,1.71,2.23,
8/31/2009,1.27,1.48,1.76,2.21,
9/30/2009,0.94,1.21,1.56,2.03,
10/30/2009,0.7,1.01,1.41,2.02,
11/30/2009,0.26,0.65,1.13,1.76,
12/31/2009,0.56,1,1.48,2.03,
1/29/2010,0.43,0.85,1.3,1.93,
2/26/2010,0.47,0.99,1.48,1.98,2.13
3/31/2010,0.72,1.23,1.6,1.99,2.16
4/30/2010,0.42,0.75,1.29,1.68,1.85
5/28/2010,0.41,0.81,1.32,1.74,1.83
6/30/2010,0.25,0.66,1.15,1.64,1.71
7/30/2010,0.17,0.59,1.14,1.75,1.85
8/31/2010,0.14,0.49,0.95,1.51,1.6
9/30/2010,-0.03,0.29,0.75,1.51,1.63
10/29/2010,-0.31,0.03,0.5,1.27,1.41
11/30/2010,-0.07,0.28,0.74,1.49,1.65
12/31/2010,0.18,0.65,1,1.59,1.86
1/31/2011,-0.01,0.59,1.08,1.79,2.07
2/28/2011,-0.02,0.6,1.03,1.66,1.96
3/31/2011,0.03,0.64,0.99,1.58,1.88
4/29/2011,-0.48,0.19,0.75,1.45,1.74
5/31/2011,-0.32,0.29,0.8,1.51,1.8
6/30/2011,-0.27,0.29,0.75,1.47,1.75
7/29/2011,-0.72,-0.18,0.38,1.14,1.39
8/31/2011,-0.76,-0.36,0.18,0.83,1.18
9/30/2011,-0.54,-0.22,0.17,0.72,1.02
10/31/2011,-0.89,-0.47,0.08,0.61,0.85
11/30/2011,-0.8,-0.41,0.03,0.59,0.82
12/30/2011,-0.76,-0.44,-0.07,0.53,0.78
1/31/2012,-1.17,-0.77,-0.28,0.37,0.61
2/29/2012,-1.12,-0.66,-0.28,0.39,0.73
3/30/2012,-0.98,-0.53,-0.09,0.61,0.93
4/30/2012,-1.24,-0.84,-0.3,0.48,0.75
5/31/2012,-1.05,-0.82,-0.5,0.14,0.51
6/29/2012,-1,-0.77,-0.46,0.15,0.56
7/31/2012,-1.23,-1.01,-0.69,-0.09,0.32
8/31/2012,-1.36,-1.08,-0.68,0,0.41
9/28/2012,-1.49,-1.22,-0.77,-0.01,0.43
10/31/2012,-1.4,-1.15,-0.78,-0.07,0.35
11/30/2012,-1.4,-1.15,-0.79,-0.01,0.34
12/31/2012,-1.37,-1.09,-0.67,0.15,0.41
1/31/2013,-1.45,-1.03,-0.57,0.22,0.53
2/28/2013,-1.41,-0.97,-0.64,0.12,0.55
3/28/2013,-1.47,-1.03,-0.64,0.16,0.61
4/30/2013,-1.38,-0.94,-0.64,0.05,0.46
5/31/2013,-0.82,-0.38,-0.05,0.63,0.97
6/28/2013,-0.35,0.06,0.53,1.12,1.31
7/31/2013,-0.49,-0.03,0.38,1.02,1.31
8/30/2013,-0.16,0.31,0.68,1.21,1.46
9/30/2013,-0.35,0.15,0.45,1.06,1.38
10/31/2013,-0.43,0.09,0.4,1.03,1.34
11/29/2013,-0.32,0.24,0.6,1.23,1.53
12/31/2013,0.06,0.61,0.8,1.36,1.64
1/31/2014,-0.23,0.33,0.53,1.07,1.33
2/28/2014,-0.28,0.27,0.49,1.03,1.32
3/31/2014,0.03,0.49,0.6,1.04,1.29
4/30/2014,-0.27,0.32,0.49,0.92,1.16
5/30/2014,-0.39,0.11,0.26,0.74,1.02
6/30/2014,-0.38,0.13,0.27,0.74,0.99
7/31/2014,-0.21,0.21,0.29,0.71,0.96
8/29/2014,-0.13,0.21,0.23,0.61,0.84
9/30/2014,0.22,0.51,0.55,0.89,1.1
10/31/2014,0.09,0.34,0.43,0.78,0.99
11/28/2014,0.1,0.3,0.39,0.71,0.92
12/31/2014,0.38,0.44,0.49,0.68,0.83
1/30/2015,-0.11,-0.01,0.03,0.3,0.52
2/27/2015,0.01,0.13,0.17,0.44,0.68
3/31/2015,-0.14,0.08,0.18,0.49,0.69
4/30/2015,-0.29,0.03,0.11,0.48,0.72
5/29/2015,-0.08,0.25,0.32,0.7,0.95
6/30/2015,0.02,0.34,0.48,0.88,1.11
7/31/2015,0.18,0.38,0.46,0.81,1.04
8/31/2015,0.28,0.49,0.58,0.93,1.15
9/30/2015,0.3,0.48,0.65,1.05,1.29
10/30/2015,0.32,0.47,0.63,0.98,1.19
11/30/2015,0.35,0.48,0.62,0.96,1.19
12/31/2015,0.45,0.59,0.73,1.07,1.28
1/29/2016,0.14,0.32,0.53,0.95,1.17
2/29/2016,-0.01,0.15,0.32,0.72,1
3/31/2016,-0.28,-0.05,0.16,0.57,0.83
4/29/2016,-0.32,-0.16,0.12,0.56,0.82
5/31/2016,-0.1,0.07,0.3,0.74,0.91
6/30/2016,-0.37,-0.17,0.09,0.53,0.7
7/29/2016,-0.28,-0.17,-0.03,0.33,0.56
8/31/2016,-0.08,0,0.11,0.4,0.58
9/30/2016,-0.31,-0.17,0,0.38,0.59
10/31/2016,-0.28,-0.1,0.11,0.51,0.7
11/30/2016,0.06,0.25,0.43,0.75,0.91
12/30/2016,0.09,0.33,0.5,0.82,0.99
1/31/2017,-0.04,0.24,0.4,0.74,0.93
2/28/2017,0,0.25,0.34,0.66,0.87
3/31/2017,0.16,0.4,0.43,0.74,0.94
4/28/2017,0,0.18,0.37,0.71,0.9
5/31/2017,0.03,0.23,0.4,0.73,0.92
6/30/2017,0.26,0.45,0.58,0.84,0.99
7/31/2017,0.17,0.35,0.48,0.8,1
8/31/2017,0.12,0.31,0.36,0.67,0.87
9/29/2017,0.24,0.46,0.49,0.77,0.94
10/31/2017,0.22,0.38,0.5,0.77,0.92
11/30/2017,0.41,0.52,0.56,0.76,0.88
12/29/2017,0.34,0.4,0.44,0.61,0.73
1/31/2018,0.54,0.6,0.61,0.72,0.8
2/28/2018,0.61,0.71,0.75,0.9,0.99
3/29/2018,0.64,0.69,0.69,0.81,0.9
4/30/2018,0.69,0.76,0.78,0.86,0.91
5/31/2018,0.65,0.75,0.76,0.84,0.91
6/29/2018,0.67,0.71,0.74,0.81,0.87
7/31/2018,0.85,0.85,0.84,0.88,0.94
8/31/2018,0.76,0.76,0.78,0.85,0.91
9/28/2018,0.91,0.91,0.91,0.97,1.04
10/31/2018,1.08,1.08,1.1,1.21,1.31
11/30/2018,1.07,1.06,1.04,1.15,1.26
12/31/2018,1,0.99,0.98,1.09,1.21
1/31/2019,0.73,0.75,0.78,0.94,1.08
2/28/2019,0.68,0.73,0.78,0.96,1.11
3/29/2019,0.45,0.48,0.53,0.72,0.89
4/30/2019,0.43,0.49,0.56,0.77,0.94
5/31/2019,0.35,0.37,0.4,0.58,0.74
6/28/2019,0.23,0.26,0.31,0.55,0.78
7/31/2019,0.28,0.27,0.26,0.47,0.72
8/30/2019,0.04,-0.01,-0.05,0.16,0.35
9/30/2019,0.2,0.16,0.15,0.34,0.53
10/31/2019,0.07,0.09,0.15,0.37,0.55
11/29/2019,0.12,0.13,0.17,0.35,0.5
12/31/2019,0.01,0.07,0.15,0.39,0.58
1/31/2020,-0.28,-0.22,-0.14,0.09,0.26
2/28/2020,-0.44,-0.37,-0.28,0,0.24
3/31/2020,-0.12,-0.16,-0.17,0,0.16
4/30/2020,-0.36,-0.42,-0.43,-0.27,-0.12
5/29/2020,-0.53,-0.53,-0.5,-0.27,-0.07
6/30/2020,-0.87,-0.79,-0.68,-0.38,-0.15
7/31/2020,-1.19,-1.11,-1,-0.69,-0.45
8/31/2020,-1.41,-1.27,-1.08,-0.64,-0.35
9/30/2020,-1.22,-1.11,-0.94,-0.54,-0.32
10/30/2020,-1.21,-1.04,-0.82,-0.42,-0.23
11/30/2020,-1.32,-1.13,-0.93,-0.55,-0.35
12/31/2020,-1.59,-1.31,-1.06,-0.61,-0.37
1/29/2021,-1.76,-1.38,-1.02,-0.52,-0.27
2/26/2021,-1.64,-1.16,-0.71,-0.18,0.06
3/31/2021,-1.62,-1.08,-0.63,-0.13,0.11
4/30/2021,-1.71,-1.06,-0.76,-0.24,0.02
5/28/2021,-1.78,-1.27,-0.84,-0.3,-0.06
6/30/2021,-1.6,-1.21,-0.87,-0.4,-0.2
7/30/2021,-1.87,-1.43,-1.16,-0.62,-0.35
8/31/2021,-1.71,-1.36,-1.03,-0.54,-0.3
9/30/2021,-1.53,-1.17,-0.85,-0.39,-0.19
10/29/2021,-1.71,-1.31,-0.96,-0.51,-0.3
11/30/2021,-1.66,-1.34,-1.07,-0.69,-0.51
12/31/2021,-1.61,-1.31,-1.04,-0.63,-0.44
1/31/2022,-1.2,-0.9,-0.65,-0.29,-0.12
2/28/2022,-1.4,-1.07,-0.79,-0.34,-0.11
3/31/2022,-0.92,-0.71,-0.52,-0.2,-0.03
4/29/2022,-0.38,-0.17,0.01,0.27,0.4
5/31/2022,-0.15,0.03,0.21,0.51,0.67
6/30/2022,0.43,0.54,0.65,0.82,0.91
7/29/2022,-0.03,0.04,0.14,0.47,0.71
8/31/2022,0.72,0.69,0.67,0.82,0.96
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
